cell_id,curve_id,curve_name,time_index,time,n_risk,confidence,pixel_left,pixel_top,pixel_right,pixel_bottom
risk-c1-t000,1,Nivolumab,0,0.0,184,high,62,365,88,376
risk-c1-t001,1,Nivolumab,1,3.0,168,high,97,365,123,376
risk-c1-t002,1,Nivolumab,2,6.0,133,high,132,365,159,376
risk-c1-t003,1,Nivolumab,3,9.0,96,high,167,365,194,376
risk-c1-t004,1,Nivolumab,4,12.0,77,high,202,365,229,376
risk-c1-t005,1,Nivolumab,5,15.0,59,high,237,365,264,376
risk-c1-t006,1,Nivolumab,6,18.0,39,high,272,365,299,376
risk-c1-t007,1,Nivolumab,7,21.0,24,high,307,365,334,376
risk-c1-t008,1,Nivolumab,8,24.0,9,high,343,365,369,376
risk-c1-t009,1,Nivolumab,9,27.0,0,high,378,365,404,376
risk-c2-t000,2,Bevacizumab,0,0.0,185,high,62,377,88,388
risk-c2-t001,2,Bevacizumab,1,3.0,169,high,97,377,123,388
risk-c2-t002,2,Bevacizumab,2,6.0,135,high,132,377,159,388
risk-c2-t003,2,Bevacizumab,3,9.0,99,high,167,377,194,388
risk-c2-t004,2,Bevacizumab,4,12.0,72,high,202,377,229,388
risk-c2-t005,2,Bevacizumab,5,15.0,48,high,237,377,264,388
risk-c2-t006,2,Bevacizumab,6,18.0,37,high,272,377,299,388
risk-c2-t007,2,Bevacizumab,7,21.0,14,high,307,377,334,388
risk-c2-t008,2,Bevacizumab,8,24.0,5,high,343,377,369,388
risk-c2-t009,2,Bevacizumab,9,27.0,0,high,378,377,404,388
