cell_id,curve_id,curve_name,time_index,time,n_risk,confidence,pixel_left,pixel_top,pixel_right,pixel_bottom
risk-c1-t000,1,Tislelizumab,0,0.0,342,high,106,357,134,371
risk-c1-t001,1,Tislelizumab,1,3.0,145,high,143,357,172,371
risk-c1-t002,1,Tislelizumab,2,6.0,79,high,181,357,210,371
risk-c1-t003,1,Tislelizumab,3,9.0,54,high,219,357,247,371
risk-c1-t004,1,Tislelizumab,4,12.0,47,high,256,357,285,371
risk-c1-t005,1,Tislelizumab,5,15.0,41,high,294,357,322,371
risk-c1-t006,1,Tislelizumab,6,18.0,38,high,331,357,360,371
risk-c1-t007,1,Tislelizumab,7,21.0,32,high,369,357,398,371
risk-c1-t008,1,Tislelizumab,8,24.0,30,high,407,357,435,371
risk-c1-t009,1,Tislelizumab,9,27.0,25,high,444,357,473,371
risk-c1-t010,1,Tislelizumab,10,30.0,22,high,482,357,510,371
risk-c1-t011,1,Tislelizumab,11,33.0,19,high,519,357,548,371
risk-c1-t012,1,Tislelizumab,12,36.0,16,high,557,357,586,371
risk-c1-t013,1,Tislelizumab,13,39.0,11,high,595,357,623,371
risk-c1-t014,1,Tislelizumab,14,42.0,7,high,632,357,661,371
risk-c1-t015,1,Tislelizumab,15,45.0,4,high,670,357,698,371
risk-c2-t000,2,Sorafenib,0,0.0,332,high,106,375,134,387
risk-c2-t001,2,Sorafenib,1,3.0,125,high,143,375,172,387
risk-c2-t002,2,Sorafenib,2,6.0,80,high,181,375,210,387
risk-c2-t003,2,Sorafenib,3,9.0,38,high,219,375,247,387
risk-c2-t004,2,Sorafenib,4,12.0,26,high,256,375,285,387
risk-c2-t005,2,Sorafenib,5,15.0,17,high,294,375,322,387
risk-c2-t006,2,Sorafenib,6,18.0,12,high,331,375,360,387
risk-c2-t007,2,Sorafenib,7,21.0,7,high,369,375,398,387
risk-c2-t008,2,Sorafenib,8,24.0,6,high,407,375,435,387
risk-c2-t009,2,Sorafenib,9,27.0,5,high,444,375,473,387
risk-c2-t010,2,Sorafenib,10,30.0,4,high,482,375,510,387
risk-c2-t011,2,Sorafenib,11,33.0,1,high,519,375,548,387
risk-c2-t012,2,Sorafenib,12,36.0,0,high,557,375,586,387
risk-c2-t013,2,Sorafenib,13,39.0,0,high,595,375,623,387
risk-c2-t014,2,Sorafenib,14,42.0,0,high,632,375,661,387
risk-c2-t015,2,Sorafenib,15,45.0,0,high,670,375,698,387
