cell_id,curve_id,curve_name,time_index,time,n_risk,confidence,pixel_left,pixel_top,pixel_right,pixel_bottom
risk-c1-t000,1,Nivolumab,0,0.0,184,high,63,365,89,376
risk-c1-t001,1,Nivolumab,1,3.0,41,high,97,365,124,376
risk-c1-t002,1,Nivolumab,2,6.0,27,high,132,365,158,376
risk-c1-t003,1,Nivolumab,3,9.0,19,high,166,365,192,376
risk-c1-t004,1,Nivolumab,4,12.0,18,high,201,365,227,376
risk-c1-t005,1,Nivolumab,5,15.0,12,high,235,365,261,376
risk-c1-t006,1,Nivolumab,6,18.0,10,high,270,365,296,376
risk-c1-t007,1,Nivolumab,7,21.0,7,high,304,365,330,376
risk-c1-t008,1,Nivolumab,8,24.0,1,high,338,365,365,376
risk-c1-t009,1,Nivolumab,9,27.0,0,high,373,365,392,376
risk-c2-t000,2,Bevacizumab,0,0.0,185,high,63,377,89,388
risk-c2-t001,2,Bevacizumab,1,3.0,88,high,97,377,124,388
risk-c2-t002,2,Bevacizumab,2,6.0,46,high,132,377,158,388
risk-c2-t003,2,Bevacizumab,3,9.0,32,high,166,377,192,388
risk-c2-t004,2,Bevacizumab,4,12.0,27,high,201,377,227,388
risk-c2-t005,2,Bevacizumab,5,15.0,19,high,235,377,261,388
risk-c2-t006,2,Bevacizumab,6,18.0,12,high,270,377,296,388
risk-c2-t007,2,Bevacizumab,7,21.0,3,high,304,377,330,388
risk-c2-t008,2,Bevacizumab,8,24.0,1,high,338,377,365,388
risk-c2-t009,2,Bevacizumab,9,27.0,0,high,373,377,392,388
